Symbol,Security,GICS Sector,GICS Sub-Industry
HES,Hess Corporation,Energy,Integrated Oil & Gas
HIG,The Hartford,Financials,Property & Casualty Insurance
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense
HLT,Hilton Worldwide,Consumer Discretionary,Hotels  Resorts & Cruise Lines
HOLX,Hologic,Health Care,Health Care Equipment
HON,Honeywell,Industrials,Industrial Conglomerates
HPE,Hewlett Packard Enterprise,Information Technology,Technology Hardware  Storage & Peripherals
HPQ,HP,Information Technology,Technology Hardware  Storage & Peripherals
HRL,Hormel,Consumer Staples,Packaged Foods & Meats
HSIC,Henry Schein,Health Care,Health Care Distributors
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats
HUM,Humana,Health Care,Managed Health Care
HWM,Howmet Aerospace,Industrials,Aerospace & Defense
IBM,IBM,Information Technology,IT Consulting & Other Services
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data
IDXX,Idexx Laboratories,Health Care,Health Care Equipment
IEX,IDEX Corporation,Industrials,Industrial Machinery
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
ILMN,Illumina,Health Care,Life Sciences Tools & Services
INCY,Incyte,Health Care,Biotechnology
INFO,IHS Markit,Industrials,Research & Consulting Services
INTC,Intel,Information Technology,Semiconductors
INTU,Intuit,Information Technology,Application Software
IP,International Paper,Materials,Paper Packaging
IPG,Interpublic Group,Communication Services,Advertising
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services
IQV,IQVIA,Health Care,Life Sciences Tools & Services
IR,Ingersoll Rand,Industrials,Industrial Machinery
IRM,Iron Mountain,Real Estate,Specialized REITs
ISRG,Intuitive Surgical,Health Care,Health Care Equipment
IT,Gartner,Information Technology,IT Consulting & Other Services
ITW,Illinois Tool Works,Industrials,Industrial Machinery
IVZ,Invesco,Financials,Asset Management & Custody Banks
J,Jacobs Engineering Group,Industrials,Construction & Engineering
JBHT,J. B. Hunt,Industrials,Trucking
JCI,Johnson Controls,Industrials,Building Products
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
JNPR,Juniper Networks,Information Technology,Communications Equipment
JPM,JPMorgan Chase,Financials,Diversified Banks
K,Kellogg's,Consumer Staples,Packaged Foods & Meats
KEY,KeyCorp,Financials,Regional Banks
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
KIM,Kimco Realty,Real Estate,Retail REITs
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment
KMB,Kimberly-Clark,Consumer Staples,Household Products
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KMX,CarMax,Consumer Discretionary,Specialty Stores
KO,Coca-Cola Company,Consumer Staples,Soft Drinks
KR,Kroger,Consumer Staples,Food Retail
KSU,Kansas City Southern,Industrials,Railroads
L,Loews Corporation,Financials,Multi-line Insurance
LDOS,Leidos,Industrials,Diversified Support Services
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings
LEN,Lennar,Consumer Discretionary,Homebuilding
LH,LabCorp,Health Care,Health Care Services
LHX,L3Harris Technologies,Industrials,Aerospace & Defense
LIN,Linde,Materials,Industrial Gases
LKQ,LKQ Corporation,Consumer Discretionary,Distributors
LLY,Eli Lilly & Co,Health Care,Pharmaceuticals
LMT,Lockheed Martin,Industrials,Aerospace & Defense
LNC,Lincoln National,Financials,Multi-line Insurance
LNT,Alliant Energy,Utilities,Electric Utilities
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail
LRCX,Lam Research,Information Technology,Semiconductor Equipment
LUMN,Lumen Technologies,Communication Services,Alternative Carriers
LUV,Southwest Airlines,Industrials,Airlines
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats
LYB,LyondellBasell,Materials,Specialty Chemicals
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
MA,Mastercard,Information Technology,Data Processing & Outsourced Services
MAA,Mid-America Apartments,Real Estate,Residential REITs
MAR,Marriott International,Consumer Discretionary,Hotels  Resorts & Cruise Lines
MAS,Masco,Industrials,Building Products
MCD,McDonald's,Consumer Discretionary,Restaurants
MCHP,Microchip Technology,Information Technology,Semiconductors
MCK,McKesson Corporation,Health Care,Health Care Distributors
MCO,Moody's Corporation,Financials,Financial Exchanges & Data
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
MDT,Medtronic,Health Care,Health Care Equipment
MET,MetLife,Financials,Life & Health Insurance
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats
MKTX,MarketAxess,Financials,Financial Exchanges & Data
MLM,Martin Marietta Materials,Materials,Construction Materials
MMC,Marsh & McLennan,Financials,Insurance Brokers
MMM,3M,Industrials,Industrial Conglomerates
MNST,Monster Beverage,Consumer Staples,Soft Drinks
MO,Altria Group,Consumer Staples,Tobacco
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
MPWR,Monolithic Power Systems,Information Technology,Semiconductors
MRK,Merck & Co.,Health Care,Pharmaceuticals
MRNA,Moderna,Health Care,Biotechnology
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production
MS,Morgan Stanley,Financials,Investment Banking & Brokerage
MSCI,MSCI,Financials,Financial Exchanges & Data
MSFT,Microsoft,Information Technology,Systems Software
MSI,Motorola Solutions,Information Technology,Communications Equipment
MTB,M&T Bank,Financials,Regional Banks
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
MU,Micron Technology,Information Technology,Semiconductors
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Hotels  Resorts & Cruise Lines
NDAQ,Nasdaq,Financials,Financial Exchanges & Data
NEE,NextEra Energy,Utilities,Multi-Utilities
NEM,Newmont,Materials,Gold
NFLX,Netflix,Communication Services,Movies & Entertainment
NI,NiSource,Utilities,Multi-Utilities
NKE,Nike,Consumer Discretionary,Apparel  Accessories & Luxury Goods
NLOK,NortonLifeLock,Information Technology,Application Software
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services
NOC,Northrop Grumman,Industrials,Aerospace & Defense
NOV,Nov,Energy,Oil & Gas Equipment & Services
NOW,ServiceNow,Information Technology,Systems Software
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
NSC,Norfolk Southern,Industrials,Railroads
NTAP,NetApp,Information Technology,Technology Hardware  Storage & Peripherals
NTRS,Northern Trust,Financials,Asset Management & Custody Banks
NUE,Nucor,Materials,Steel
NVDA,Nvidia,Information Technology,Semiconductors
NVR,NVR,Consumer Discretionary,Homebuilding
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties
NWS,News Corp (Class B),Communication Services,Publishing
NWSA,News Corp (Class A),Communication Services,Publishing
NXPI,NXP,Information Technology,Semiconductors
O,Realty Income Corporation,Real Estate,Retail REITs
ODFL,Old Dominion Freight Line,Industrials,Trucking
OGN,Organon & Co.,Health Care,Pharmaceuticals
OKE,Oneok,Energy,Oil & Gas Storage & Transportation
OMC,Omnicom Group,Communication Services,Advertising
ORCL,Oracle,Information Technology,Application Software
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores
OTIS,Otis Worldwide,Industrials,Industrial Machinery
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
PAYC,Paycom,Information Technology,Application Software
PAYX,Paychex,Information Technology,Data Processing & Outsourced Services
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance
PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks
PEAK,Healthpeak Properties,Real Estate,Health Care REITs
PEG,Public Service Enterprise Group,Utilities,Electric Utilities
PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming
PEP,PepsiCo,Consumer Staples,Soft Drinks
PFE,Pfizer,Health Care,Pharmaceuticals
PFG,Principal Financial Group,Financials,Life & Health Insurance
PG,Procter & Gamble,Consumer Staples,Personal Products
PGR,Progressive Corporation,Financials,Property & Casualty Insurance
PH,Parker-Hannifin,Industrials,Industrial Machinery
PHM,PulteGroup,Consumer Discretionary,Homebuilding
PKG,Packaging Corporation of America,Materials,Paper Packaging
PKI,PerkinElmer,Health Care,Health Care Equipment
PLD,Prologis,Real Estate,Industrial REITs
PM,Philip Morris International,Consumer Staples,Tobacco
PNC,PNC Financial Services,Financials,Regional Banks
PNR,Pentair,Industrials,Industrial Machinery
PNW,Pinnacle West Capital,Utilities,Multi-Utilities
POOL,Pool Corporation,Consumer Discretionary,Distributors
PPG,PPG Industries,Materials,Specialty Chemicals
PPL,PPL,Utilities,Electric Utilities
PRGO,Perrigo,Health Care,Pharmaceuticals
PRU,Prudential Financial,Financials,Life & Health Insurance
PSA,Public Storage,Real Estate,Specialized REITs
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PTC,PTC,Information Technology,Application Software
PVH,PVH,Consumer Discretionary,Apparel  Accessories & Luxury Goods
PWR,Quanta Services,Industrials,Construction & Engineering
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services
QCOM,Qualcomm,Information Technology,Semiconductors
QRVO,Qorvo,Information Technology,Semiconductors
RCL,Royal Caribbean Group,Consumer Discretionary,Hotels  Resorts & Cruise Lines
RE,Everest Re,Financials,Reinsurance
REG,Regency Centers,Real Estate,Retail REITs
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology
RF,Regions Financial Corporation,Financials,Regional Banks
RHI,Robert Half International,Industrials,Human Resource & Employment Services
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage
RL,Ralph Lauren Corporation,Consumer Discretionary,Apparel  Accessories & Luxury Goods
RMD,ResMed,Health Care,Health Care Equipment
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment
ROL,Rollins,Industrials,Environmental & Facilities Services
ROP,Roper Technologies,Industrials,Industrial Conglomerates
ROST,Ross Stores,Consumer Discretionary,Apparel Retail
RSG,Republic Services,Industrials,Environmental & Facilities Services
RTX,Raytheon Technologies,Industrials,Aerospace & Defense
SBAC,SBA Communications,Real Estate,Specialized REITs
SBUX,Starbucks,Consumer Discretionary,Restaurants
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage
SEE,Sealed Air,Materials,Paper Packaging
SHW,Sherwin-Williams,Materials,Specialty Chemicals
SIVB,SVB Financial,Financials,Regional Banks
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
SNA,Snap-on,Industrials,Industrial Machinery
SNPS,Synopsys,Information Technology,Application Software
SO,Southern Company,Utilities,Electric Utilities
SPG,Simon Property Group,Real Estate,Retail REITs
SPGI,S&P Global,Financials,Financial Exchanges & Data
SRE,Sempra Energy,Utilities,Multi-Utilities
STE,Steris,Health Care,Health Care Equipment
STT,State Street Corporation,Financials,Asset Management & Custody Banks
STX,Seagate Technology,Information Technology,Technology Hardware  Storage & Peripherals
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners
SWK,Stanley Black & Decker,Industrials,Industrial Machinery
SWKS,Skyworks Solutions,Information Technology,Semiconductors
SYF,Synchrony Financial,Financials,Consumer Finance
SYK,Stryker Corporation,Health Care,Health Care Equipment
SYY,Sysco,Consumer Staples,Food Distributors
T,AT&T,Communication Services,Integrated Telecommunication Services
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers
TDG,TransDigm Group,Industrials,Aerospace & Defense
TDY,Teledyne Technologies,Industrials,Aerospace & Defense
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services
TER,Teradyne,Information Technology,Semiconductor Equipment
TFC,Truist Financial,Financials,Regional Banks
TFX,Teleflex,Health Care,Health Care Equipment
TGT,Target Corporation,Consumer Discretionary,General Merchandise Stores
TJX,TJX Companies,Consumer Discretionary,Apparel Retail
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
TPR,Tapestry,Consumer Discretionary,Apparel  Accessories & Luxury Goods
TRMB,Trimble,Information Technology,Electronic Equipment & Instruments
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks
TRV,The Travelers Companies,Financials,Property & Casualty Insurance
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores
TSLA,Tesla,Consumer Discretionary,Automobile Manufacturers
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
TT,Trane Technologies,Industrials,Building Products
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
TWTR,Twitter,Communication Services,Interactive Media & Services
TXN,Texas Instruments,Information Technology,Semiconductors
TXT,Textron,Industrials,Aerospace & Defense
TYL,Tyler Technologies,Information Technology,Application Software
UA,Under Armour (Class C),Consumer Discretionary,Apparel  Accessories & Luxury Goods
UAA,Under Armour (Class A),Consumer Discretionary,Apparel  Accessories & Luxury Goods
UAL,United Airlines,Industrials,Airlines
UDR,UDR,Real Estate,Residential REITs
UHS,Universal Health Services,Health Care,Health Care Facilities
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores
UNH,UnitedHealth Group,Health Care,Managed Health Care
UNM,Unum Group,Financials,Life & Health Insurance
UNP,Union Pacific,Industrials,Railroads
UPS,United Parcel Service,Industrials,Air Freight & Logistics
URI,United Rentals,Industrials,Trading Companies & Distributors
USB,U.S. Bancorp,Financials,Diversified Banks
V,Visa,Information Technology,Data Processing & Outsourced Services
VFC,VF Corporation,Consumer Discretionary,Apparel  Accessories & Luxury Goods
VIAC,ViacomCBS,Communication Services,Movies & Entertainment
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
VMC,Vulcan Materials,Materials,Construction Materials
VNO,Vornado Realty Trust,Real Estate,Office REITs
VRSK,Verisk Analytics,Industrials,Research & Consulting Services
VRSN,Verisign,Information Technology,Internet Services & Infrastructure
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology
VTR,Ventas,Real Estate,Health Care REITs
VTRS,Viatris,Health Care,Pharmaceuticals
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services
WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks
WAT,Waters Corporation,Health Care,Health Care Distributors
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
WDC,Western Digital,Information Technology,Technology Hardware  Storage & Peripherals
WEC,WEC Energy Group,Utilities,Electric Utilities
WELL,Welltower,Real Estate,Health Care REITs
WFC,Wells Fargo,Financials,Diversified Banks
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances
WLTW,Willis Towers Watson,Financials,Insurance Brokers
WM,Waste Management,Industrials,Environmental & Facilities Services
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance
WRK,WestRock,Materials,Paper Packaging
WST,West Pharmaceutical Services,Health Care,Health Care Supplies
WU,Western Union,Information Technology,Data Processing & Outsourced Services
WY,Weyerhaeuser,Real Estate,Specialized REITs
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
XEL,Xcel Energy,Utilities,Multi-Utilities
XLNX,Xilinx,Information Technology,Semiconductors
XOM,ExxonMobil,Energy,Integrated Oil & Gas
XRAY,Dentsply Sirona,Health Care,Health Care Supplies
XYL,Xylem,Industrials,Industrial Machinery
YUM,Yum! Brands,Consumer Discretionary,Restaurants
ZBH,Zimmer Biomet,Health Care,Health Care Equipment
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
ZION,Zions Bancorp,Financials,Regional Banks
ZTS,Zoetis,Health Care,Pharmaceuticals
