Date,Mkt-RF,SMB,HML,WML
1994/09/30,-2.84,1.83,-0.26,1.12
1994/10/31,2.09,-1.88,-0.11,1.09
1994/11/30,-5.17,-0.25,-0.3,-0.54
1994/12/31,0.76,-0.13,-0.56,1.65
1995/01/31,-2.3,0.2,0.28,-1.19
1995/02/28,0.61,0.4,0.34,0.45
1995/03/31,4.22,-2.09,-1.21,-0.48
1995/04/30,2.63,-1.23,0.18,1.15
1995/05/31,-0.11,-0.15,0.53,0.36
1995/06/30,-0.04,2.04,-0.94,2.77
1995/07/31,4.35,0.65,-1.98,0.78
1995/08/31,-1.77,2.1,-0.25,-0.35
1995/09/30,1.68,-1.17,-1,3.04
1995/10/31,-1.99,-1.62,-0.34,2.46
1995/11/30,2.67,-1.25,-0.07,0.27
1995/12/31,2.14,0.23,0.53,-0.86
1996/01/31,1.13,-0.1,0.75,-0.6
1996/02/29,0.6,1.33,-0.62,0.8
1996/03/31,1.19,0.35,0.13,0.24
1996/04/30,2.69,3.53,-1.22,0.08
1996/05/31,0.11,2.26,-0.38,1.72
1996/06/30,-0.51,-2.65,1.45,-0.06
1996/07/31,-4.56,-2.18,3.21,-2.49
1996/08/31,0.96,1.35,-0.69,1.74
1996/09/30,3.19,-2.56,-0.92,2.08
1996/10/31,-0.49,-0.73,2.12,2.57
1996/11/30,4.44,-3.44,1.78,-0.09
1996/12/31,-1.78,0.86,1.12,0.74
1997/01/31,0.05,-0.05,0.01,2.55
1997/02/28,0.3,-1.52,2.11,-1.21
1997/03/31,-2.79,-1.11,2.48,0.97
1997/04/30,1.93,-4.51,-0.21,4.17
1997/05/31,7.01,1.78,-1.73,-2.35
1997/06/30,4.02,-1.7,0.91,0.83
1997/07/31,3.75,-4.49,-0.28,6.35
1997/08/31,-5.56,5.37,0.5,0.03
1997/09/30,4.99,-2.09,-0.36,5.59
1997/10/31,-5.54,0.79,1.17,-1.69
1997/11/30,0.3,-5.79,-0.5,2.82
1997/12/31,0.32,-3.62,1.95,5.23
1998/01/31,1.92,-0.36,-1.02,-2.73
1998/02/28,6.5,0.05,0.51,-1.76
1998/03/31,3.8,-0.66,2.02,2.99
1998/04/30,0.72,0.47,-0.29,1.5
1998/05/31,-1.65,-1.02,1.88,1.63
1998/06/30,1.24,-3.74,-1.75,4.79
1998/07/31,-1.23,-3.36,-1.17,3.79
1998/08/31,-14.07,-1.21,0.06,0.1
1998/09/30,1.22,-0.17,-3.36,-0.3
1998/10/31,8.12,-3.11,1.28,-3.96
1998/11/30,5.02,-0.46,-1.31,0.58
1998/12/31,4.34,-1.39,-3.49,7.53
1999/01/31,1.76,-0.05,-4,4.84
1999/02/28,-3.3,-0.87,0.33,-1.09
1999/03/31,3.53,-1,0.24,-2.67
1999/04/30,4.32,2.48,3.8,-7.23
1999/05/31,-3.12,3.02,0.62,-0.58
1999/06/30,4.65,3.15,-1.77,5.71
1999/07/31,-0.35,2.04,0.94,1.36
1999/08/31,-0.01,1.29,-1.67,4.25
1999/09/30,-0.6,2.13,-2,4.61
1999/10/31,4.39,-4.62,-4.03,5.07
1999/11/30,3.63,2.34,-9.49,11.16
1999/12/31,7.23,-0.65,-6.45,12.14
2000/01/31,-5.39,5.68,-1.92,2.99
2000/02/29,2.28,10.86,-10.15,17.74
2000/03/31,4.66,-10.08,6.75,-12.27
2000/04/30,-5.77,-5.29,5.14,-10.76
2000/05/31,-3.28,-1.13,5.56,-11.04
2000/06/30,3.28,4.98,-1.4,6.89
2000/07/31,-3.38,-2.43,5.94,-2.61
2000/08/31,4.22,-0.05,-1.37,5.98
2000/09/30,-5.24,-0.96,6.49,-3.67
2000/10/31,-3.52,-5.72,6.79,-6.55
2000/11/30,-7.47,-1.93,12.24,-7.67
2000/12/31,1.37,0.51,7.63,3.63
2001/01/31,1.87,2.73,-3.88,-13.97
2001/02/28,-8.77,2.1,11.92,8.66
2001/03/31,-7.77,-0.81,7.12,5.53
2001/04/30,7.67,-0.68,-3.15,-5.04
2001/05/31,-1.09,2.16,2.78,3.48
2001/06/30,-2.77,1.67,3.61,4.5
2001/07/31,-2.6,-3.28,3.02,4.04
2001/08/31,-4.44,2.08,4.04,6.97
2001/09/30,-10.01,-4.98,1.92,9.37
2001/10/31,2.58,4.08,-5.13,-5.7
2001/11/30,5.53,-0.67,-1.75,-9.53
2001/12/31,0.66,0.21,1.34,1.04
2002/01/31,-3.07,1.01,2.02,3.33
2002/02/28,-0.72,-0.46,3.48,5.3
2002/03/31,4.66,1.42,0.51,-2.05
2002/04/30,-2.48,3.73,5.4,5.96
2002/05/31,0.35,0.07,3.32,2.58
2002/06/30,-5.45,2.01,2.18,6.51
2002/07/31,-8.73,-1.46,0.16,2.98
2002/08/31,0.19,-1.48,1.66,2.01
2002/09/30,-10.34,2.74,1.04,8.76
2002/10/31,5.94,-5.03,-3.64,-4.51
2002/11/30,5.14,0.1,-0.69,-10.65
2002/12/31,-4.23,1.76,3.55,9.36
2003/01/31,-2.73,1.87,0.84,1.44
2003/02/28,-1.84,0.49,1.66,3.4
2003/03/31,-0.35,0.48,-1.06,1.68
2003/04/30,8.7,-0.05,-0.75,-8.24
2003/05/31,6.58,3.21,0.48,-5.78
2003/06/30,2.06,1.95,0.77,-2.69
2003/07/31,2.2,2.25,1.43,-2.49
2003/08/31,2.73,2.71,1.28,-0.91
2003/09/30,1.32,2.78,0.1,0.08
2003/10/31,5.87,0.8,2.48,4.59
2003/11/30,1.68,-0.1,0.19,0.06
2003/12/31,5.64,-1.67,0.95,-1.91
2004/01/31,2.29,2.57,1.85,2.83
2004/02/29,1.92,-0.04,0.69,-0.24
2004/03/31,-0.03,3.76,0.45,0.58
2004/04/30,-2.34,-0.58,-1.67,-3.12
2004/05/31,0.67,-1.56,0.23,-0.33
2004/06/30,2.38,2.22,1.02,2.11
2004/07/31,-3.79,-1.56,2.33,-1.93
2004/08/31,0.36,-0.73,1.25,0.39
2004/09/30,2.15,1.27,0.48,2.36
2004/10/31,2.56,0.51,0.13,-0.36
2004/11/30,5.38,2.14,1.26,1.67
2004/12/31,3.8,-0.01,0.54,-0.55
2005/01/31,-1.93,1.99,1.48,2.48
2005/02/28,2.99,0.35,1.41,2.27
2005/03/31,-2.02,-0.53,1.55,1.16
2005/04/30,-2.6,-0.99,0.05,0.32
2005/05/31,1.43,-0.88,-0.08,0.33
2005/06/30,1.23,1.86,1.63,2.57
2005/07/31,3.54,0.98,-0.15,0.88
2005/08/31,1.04,0.57,0.8,3.17
2005/09/30,2.08,-0.25,0.96,3.3
2005/10/31,-2.68,-0.16,0.23,-1.1
2005/11/30,2.9,0.19,-0.74,0.84
2005/12/31,2.58,2.23,-0.53,2.53
2006/01/31,4.52,2.73,1.41,3.72
2006/02/28,-0.46,-0.75,1.35,-1.86
2006/03/31,2.43,2.01,0.43,2.13
2006/04/30,2.87,0.34,1.32,1.46
2006/05/31,-4.12,-2.3,1.17,-3.01
2006/06/30,-0.59,-1.66,0.1,-0.2
2006/07/31,-0.25,-2.94,2.5,-0.27
2006/08/31,2.23,0.21,-0.74,-1.28
2006/09/30,0.6,-1.47,0.5,-0.32
2006/10/31,3.33,0.51,-0.37,0.59
2006/11/30,2.29,0.34,0.4,0.48
2006/12/31,1.85,-0.17,1.36,1.41
2007/01/31,0.93,0.84,0.13,0.65
2007/02/28,-0.55,1.44,0.78,-0.04
2007/03/31,1.76,0.23,0.48,1.8
2007/04/30,3.71,-0.91,0.31,1.26
2007/05/31,2.49,-0.86,0.63,0.82
2007/06/30,-0.79,1.01,0.06,0.1
2007/07/31,-2.37,0.22,-0.9,2.61
2007/08/31,-1.14,-3.5,-0.48,-0.86
2007/09/30,4.42,-2.12,-1.63,4.9
2007/10/31,3.18,0.89,-3.01,3.78
2007/11/30,-4.65,-3.53,-0.65,-0.45
2007/12/31,-1.53,-0.82,0.76,2.64
2008/01/31,-7.85,-0.95,2.68,-4.91
2008/02/29,-0.04,2.11,-0.82,5.07
2008/03/31,-1.25,-0.8,1.47,0.58
2008/04/30,4.92,-2.77,-0.42,-0.47
2008/05/31,1.83,1.66,-1.59,2.68
2008/06/30,-8.06,1.16,-1.1,9.23
2008/07/31,-2.79,-0.44,2.09,-4.35
2008/08/31,-2.1,-0.5,0.15,-3.32
2008/09/30,-12.28,-1.25,2.44,0.17
2008/10/31,-19.51,-2.82,0.03,7.54
2008/11/30,-6.53,-0.49,-1.61,4.17
2008/12/31,4.44,2.17,0.46,-2.3
2009/01/31,-8.55,2.24,-4.62,0.14
2009/02/28,-9.93,1.06,-4.14,2.21
2009/03/31,7.27,-1.31,0,-9.11
2009/04/30,11.41,1.6,2.75,-24.26
2009/05/31,9.95,1.65,0.03,-10.4
2009/06/30,-0.26,2.83,-1.58,2.72
2009/07/31,8.6,-1.4,3.93,-2.9
2009/08/31,3.88,0.9,4.59,-6.2
2009/09/30,4.46,1.61,0.55,-2.28
2009/10/31,-2.1,-0.44,-2.19,1.63
2009/11/30,3.64,-2.42,-1.35,0.74
2009/12/31,1.93,0.68,0.79,2.09
2010/01/31,-3.73,2.56,-0.06,-2.26
2010/02/28,1.29,0.06,0.14,1.5
2010/03/31,6.24,-0.23,3.07,4.03
2010/04/30,0.48,3.82,0.82,1.77
2010/05/31,-9.54,0.12,-2.49,-0.73
2010/06/30,-3.15,0.33,-2.69,-0.89
2010/07/31,8.21,-1.57,1.29,0.29
2010/08/31,-3.9,-0.24,-1.92,2.3
2010/09/30,9.85,1.51,-1.6,2.34
2010/10/31,3.94,-0.07,-1.23,0.51
2010/11/30,-2.17,2.05,-0.74,4.3
2010/12/31,7.6,2.05,1.79,-0.4
2011/01/31,2.13,-1.65,2.81,-1.6
2011/02/28,3.49,0.15,0.47,1.22
2011/03/31,-0.68,1.32,-1.58,1.32
2011/04/30,4.47,-0.73,-1.83,1.51
2011/05/31,-2.1,-0.51,-1.33,0.31
2011/06/30,-1.52,-0.42,0.49,1.46
2011/07/31,-1.7,1.22,-2.18,2.01
2011/08/31,-7.52,-0.59,-1.8,-0.85
2011/09/30,-9.2,-1.29,0.74,-2.86
2011/10/31,10.01,-2.13,-1.92,-1.33
2011/11/30,-2.64,-1.06,-0.75,4.53
2011/12/31,-0.44,-0.49,1.81,2.05
2012/01/31,5.61,2.15,-0.77,-6.77
2012/02/29,4.93,-0.81,-0.31,-2.62
2012/03/31,1.24,-0.38,0.04,3.58
2012/04/30,-1.11,0.23,-1.68,4.86
2012/05/31,-8.88,-0.52,0.08,6.25
2012/06/30,4.85,-1.48,1.43,-0.99
2012/07/31,0.85,-1.61,-1.04,3.72
2012/08/31,2.78,-0.25,0.61,-1.71
2012/09/30,3.07,1.07,1.21,-1.27
2012/10/31,-0.43,-0.76,2.34,0
2012/11/30,1.32,-1.19,0.12,1.06
2012/12/31,2.3,1.24,3.51,-1.8
2013/01/31,5.46,0.17,1.97,0.17
2013/02/28,0.09,0.32,-0.73,3.2
2013/03/31,2.3,0.85,-1.86,3.78
2013/04/30,3.02,-1.15,0.9,3.08
2013/05/31,0.56,-0.65,0.9,-1.47
2013/06/30,-2.52,0.22,-0.02,0.8
2013/07/31,5.58,0.11,0.44,1.64
2013/08/31,-1.83,1.2,-0.77,-1.32
2013/09/30,5.52,2.19,-0.59,3.33
2013/10/31,3.71,-1.72,1.95,0.3
2013/11/30,1.82,-0.22,-0.1,2.15
2013/12/31,2.18,-0.24,-0.31,1.11
2014/01/31,-3.29,2.86,-0.16,1.27
2014/02/28,5.06,-1.01,0.06,1.5
2014/03/31,0.15,-0.45,2.86,-2.31
2014/04/30,0.55,-2.73,1.18,-3.39
2014/05/31,1.75,-1.08,-0.49,0.54
2014/06/30,2.01,2.2,-0.25,0.3
2014/07/31,-2.05,-1.09,0.32,0.52
2014/08/31,1.93,-0.55,-0.76,0.4
2014/09/30,-3.09,-2.73,-0.83,1.08
2014/10/31,0.33,-0.38,-2.81,-0.14
2014/11/30,1.65,-2.25,-2,0.98
2014/12/31,-1.44,1.65,0.04,1.12
2015/01/31,-1.74,0.02,-2.49,3.9
2015/02/28,5.91,-0.34,-0.3,-2.43
2015/03/31,-1.17,1.41,-0.8,1.75
2015/04/30,2.71,0.86,2.27,-3.3
2015/05/31,0.5,1.22,-1.12,4.29
2015/06/30,-2.09,2.1,-0.66,1.99
2015/07/31,1.13,-3.08,-3.25,3.53
2015/08/31,-6.18,1.15,1.27,-0.68
2015/09/30,-3.91,-0.18,-1.02,3.48
2015/10/31,7.32,-2.4,0.34,-2.61
2015/11/30,-0.3,1.72,-1.99,2.07
2015/12/31,-1.73,1.01,-1.7,3.39
2016/01/31,-6.32,-2.11,0.76,0.58
2016/02/29,-0.5,0.83,-0.21,-2.71
2016/03/31,6.92,1.32,0.42,-2.74
2016/04/30,1.91,1.12,2.98,-3.26
2016/05/31,0.45,0.02,-2.11,2.93
2016/06/30,-1.67,-0.49,-0.73,6.09
2016/07/31,4.48,1.28,0.46,-1.71
2016/08/31,0.29,0.3,2.19,-3.85
2016/09/30,0.9,2.32,-1.23,1.62
2016/10/31,-1.88,-1.47,4.09,-1.14
2016/11/30,1.39,0.25,4.39,-4.11
2016/12/31,2.25,-0.48,2.76,-1.49
2017/01/31,2.72,0.4,-0.53,1.76
2017/02/28,2.28,-0.6,-1.74,-1.88
2017/03/31,1.48,0.3,-1.81,0.12
2017/04/30,1.86,0.36,-1.39,0.06
2017/05/31,2.2,-0.43,-2.59,1.09
2017/06/30,0.6,1.67,1.74,0.5
2017/07/31,2.51,-0.05,1.02,1.77
2017/08/31,0.13,-0.14,-1.34,1.95
2017/09/30,2.3,1.27,1.64,0.01
2017/10/31,1.8,-0.87,-0.9,3.44
2017/11/30,1.93,-0.71,-0.13,0.46
2017/12/31,1.38,0.9,0.11,-1.07
2018/01/31,5.15,-1.05,-1.43,3.27
2018/02/28,-4,0.82,-1.79,2.43
2018/03/31,-1.76,1.23,-0.42,-1.11
2018/04/30,0.93,-0.54,1.76,-0.49
2018/05/31,0.49,1.88,-4.52,3.11
2018/06/30,-0.49,-0.69,-1.39,-1.38
2018/07/31,2.53,-2.53,1.19,-1.63
2018/08/31,0.87,-0.5,-4.19,3.46
2018/09/30,0.32,-1.49,0.3,0.59
2018/10/31,-8.19,-2.53,2.44,-2.46
2018/11/30,0.88,-0.51,-1.22,-1.58
2018/12/31,-7.67,-1.01,0.56,1.46
2019/01/31,7.47,-0.09,-0.71,-3.85
2019/02/28,2.94,0.23,-2.09,0.36
2019/03/31,0.76,-1.84,-3.28,2.89
2019/04/30,3.44,-1.25,-0.26,-2.81
2019/05/31,-5.99,0.67,-1.7,6.68
2019/06/30,6.13,-1.98,-0.17,-1.07
2019/07/31,-0.07,-1.08,-0.63,1.01
2019/08/31,-2.55,-1.4,-2.7,4.32
2019/09/30,1.9,-0.48,4.15,-4.43
2019/10/31,2.56,0.81,-0.53,-1.23
2019/11/30,2.74,0.32,-2.22,-1.01
2019/12/31,3.05,1.27,0.62,0.27
2020/01/31,-1.2,-2.16,-4.33,4.15
2020/02/29,-8.54,-1.23,-1.07,0.19
2020/03/31,-13.77,-3.29,-9.3,6.23
2020/04/30,10.68,2.34,-4.62,0.3
2020/05/31,5.3,2.65,-5.1,1.57
2020/06/30,2.76,0.19,-1.73,2.21
2020/07/31,4.34,-1.26,-3.64,6.45
2020/08/31,6.84,1.45,-3.87,0.71
2020/09/30,-3,2.39,-2.46,2.4
2020/10/31,-2.6,1.22,2.04,-1.69
2020/11/30,13.34,0.67,4.34,-10.92
2020/12/31,4.82,3.31,-1.2,-0.09
2021/01/31,-0.55,2.97,1.01,2.64
2021/02/28,2.88,0.43,7.46,-6.52
2021/03/31,3.11,-2.34,5.57,-4.83
2021/04/30,4.49,-1.04,-1.97,2.05
2021/05/31,1.65,-0.44,4.14,0.69
2021/06/30,1.01,-0.29,-5.25,0.17
2021/07/31,1.04,-2.31,-1.67,-0.83
2021/08/31,2.42,0.09,-1.71,1.3
2021/09/30,-3.82,0.78,3.85,0.77
