Name ,Weight (%),Market Value,Sector,ISIN,Country
ORACLE CORP,0.27,"USD 16,898,289.41",Information Technology,US68389X1054,US
PHILIP MORRIS INTERNATIONAL INC,0.27,"USD 16,774,368.00",Consumer Staples,US7181721090,US
INTUIT INC,0.26,"USD 16,198,150.43",Information Technology,US4612021034,US
QUALCOMM INC,0.26,"USD 16,033,213.44",Information Technology,US7475251036,US
HONEYWELL INTERNATIONAL INC,0.26,"USD 15,886,083.71",Industrials,US4385161066,US
SAP,0.25,"USD 15,746,147.45",Information Technology,DE0007164600,DE
ROYAL BANK OF CANADA,0.25,"USD 15,198,422.04",Financials,CA7800871021,CA
MODERNA INC,0.24,"USD 15,118,773.54",Health Care,US60770K1079,US
LOWES COMPANIES INC,0.24,"USD 14,936,744.06",Consumer Discretionary,US5486611073,US
MORGAN STANLEY,0.24,"USD 14,905,972.48",Financials,US6174464486,US
CITIGROUP INC,0.24,"USD 14,884,182.85",Financials,US1729674242,US
UNILEVER PLC,0.24,"USD 14,598,430.33",Consumer Staples,GB00B10RZP78,GB
BRISTOL MYERS SQUIBB,0.23,"USD 14,517,672.00",Health Care,US1101221083,US
BLACKROCK INC,0.23,"USD 14,387,934.05",Financials,US09247X1019,US
UNION PACIFIC CORP,0.23,"USD 14,271,560.25",Industrials,US9078181081,US
AIA GROUP LTD,0.23,"USD 14,271,533.49",Financials,HK0000069689,HK
SONY GROUP CORP,0.23,"USD 14,252,802.05",Consumer Discretionary,JP3435000009,JP
UNITED PARCEL SERVICE INC CLASS B,0.23,"USD 14,074,913.25",Industrials,US9113121068,US
GOLDMAN SACHS GROUP INC,0.22,"USD 13,895,009.55",Financials,US38141G1040,US
COMMONWEALTH BANK OF AUSTRALIA,0.22,"USD 13,780,725.51",Financials,AU000000CBA7,AU
STARBUCKS CORP,0.22,"USD 13,766,888.32",Consumer Discretionary,US8552441094,US
AMERICAN TOWER REIT CORP,0.22,"USD 13,590,429.94",Real Estate,US03027X1000,US
SIEMENS N AG,0.22,"USD 13,561,748.24",Industrials,DE0007236101,DE
ADVANCED MICRO DEVICES INC,0.22,"USD 13,524,086.40",Information Technology,US0079031078,US
APPLIED MATERIAL INC,0.21,"USD 13,232,262.39",Information Technology,US0382221051,US
RAYTHEON TECHNOLOGIES CORP,0.21,"USD 13,213,155.69",Industrials,US75513E1010,US
KEYENCE CORP,0.21,"USD 13,209,672.90",Information Technology,JP3236200006,JP
SERVICENOW INC,0.21,"USD 13,046,260.75",Information Technology,US81762P1021,US
AMGEN INC,0.21,"USD 12,838,913.67",Health Care,US0311621009,US
INTUITIVE SURGICAL INC,0.21,"USD 12,796,119.28",Health Care,US46120E6023,US
INTERNATIONAL BUSINESS MACHINES CO,0.2,"USD 12,641,608.00",Information Technology,US4592001014,US
TARGET CORP,0.2,"USD 12,548,796.00",Consumer Discretionary,US87612E1064,US
BOEING,0.2,"USD 12,224,464.30",Industrials,US0970231058,US
LOREAL SA,0.2,"USD 12,142,146.82",Consumer Staples,FR0000120321,FR
TORONTO DOMINION,0.19,"USD 12,000,770.84",Financials,CA8911605092,CA
TOTALENERGIES,0.19,"USD 11,913,897.82",Energy,FR0000120271,FR
GENERAL ELECTRIC,0.19,"USD 11,600,983.12",Industrials,US3696043013,US
DIAGEO PLC,0.19,"USD 11,566,099.83",Consumer Staples,GB0002374006,GB
AMERICAN EXPRESS,0.19,"USD 11,484,826.56",Financials,US0258161092,US
CATERPILLAR INC,0.18,"USD 11,409,785.80",Industrials,US1491231015,US
CVS HEALTH CORP,0.18,"USD 11,247,483.52",Health Care,US1266501006,US
S&P GLOBAL INC,0.18,"USD 11,139,619.55",Financials,US78409V1044,US
3M,0.18,"USD 11,000,195.18",Industrials,US88579Y1010,US
SANOFI SA,0.18,"USD 10,962,649.21",Health Care,FR0000120578,FR
HSBC HOLDINGS PLC,0.18,"USD 10,882,715.79",Financials,GB0005405286,GB
DEERE,0.18,"USD 10,878,725.26",Industrials,US2441991054,US
CHARTER COMMUNICATIONS INC CLASS A,0.17,"USD 10,371,520.80",Communication,US16119P1084,US
PROLOGIS REIT INC,0.17,"USD 10,324,909.98",Real Estate,US74340W1036,US
CHARLES SCHWAB CORP,0.17,"USD 10,241,900.20",Financials,US8085131055,US
BOOKING HOLDINGS INC,0.16,"USD 10,195,287.27",Consumer Discretionary,US09857L1089,US
GLAXOSMITHKLINE PLC,0.16,"USD 10,086,318.36",Health Care,GB0009252882,GB
CSL LTD,0.16,"USD 10,068,194.34",Health Care,AU000000CSL8,AU
ZOETIS INC CLASS A,0.16,"USD 10,049,721.08",Health Care,US98978V1035,US
SCHNEIDER ELECTRIC,0.16,"USD 10,003,599.71",Industrials,FR0000121972,FR
ALLIANZ,0.16,"USD 9,890,504.12",Financials,DE0008404005,DE
SQUARE INC CLASS A,0.16,"USD 9,867,656.80",Information Technology,US8522341036,US
STRYKER CORP,0.16,"USD 9,849,242.40",Health Care,US8636671013,US
ANALOG DEVICES INC,0.15,"USD 9,590,415.36",Information Technology,US0326541051,US
ANTHEM INC,0.15,"USD 9,513,182.52",Health Care,US0367521038,US
LAM RESEARCH CORP,0.15,"USD 9,169,442.50",Information Technology,US5128071082,US
BP PLC,0.15,"USD 9,143,012.09",Energy,GB0007980591,GB
BLACKSTONE INC,0.15,"USD 9,136,648.00",Financials,US09260D1072,US
GILEAD SCIENCES INC,0.15,"USD 8,996,551.20",Health Care,US3755581036,US
MERCADOLIBRE INC,0.15,"USD 8,996,656.12",Consumer Discretionary,US58733R1023,US
AUTOMATIC DATA PROCESSING INC,0.15,"USD 8,993,923.56",Information Technology,US0530151036,US
RECRUIT HOLDINGS LTD,0.14,"USD 8,967,621.57",Industrials,JP3970300004,JP
BHP GROUP LTD,0.14,"USD 8,947,346.99",Materials,AU000000BHP4,AU
ALTRIA GROUP INC,0.14,"USD 8,927,614.35",Consumer Staples,US02209S1033,US
ROYAL DUTCH SHELL PLC,0.14,"USD 8,870,002.85",Energy,GB00B03MLX29,GB
TJX INC,0.14,"USD 8,835,702.12",Consumer Discretionary,US8725401090,US
LOCKHEED MARTIN CORP,0.14,"USD 8,755,116.04",Industrials,US5398301094,US
MICRON TECHNOLOGY INC,0.14,"USD 8,693,190.84",Information Technology,US5951121038,US
CANADIAN NATIONAL RAILWAY,0.14,"USD 8,675,892.86",Industrials,CA1363751027,CA
PNC FINANCIAL SERVICES GROUP INC,0.14,"USD 8,550,302.62",Financials,US6934751057,US
MARSH & MCLENNAN INC,0.14,"USD 8,488,336.40",Financials,US5717481023,US
CROWN CASTLE INTERNATIONAL REIT CO,0.14,"USD 8,480,760.75",Real Estate,US22822V1017,US
MONDELEZ INTERNATIONAL INC CLASS A,0.14,"USD 8,456,454.03",Consumer Staples,US6092071058,US
CHUBB LTD,0.14,"USD 8,408,787.60",Financials,CH0044328745,CH
RIO TINTO PLC,0.14,"USD 8,403,166.54",Materials,GB0007188757,GB
BRITISH AMERICAN TOBACCO PLC,0.13,"USD 8,268,967.22",Consumer Staples,GB0002875804,GB
ENBRIDGE INC,0.13,"USD 8,259,742.97",Energy,CA29250N1050,CA
LAIR LIQUIDE SOCIETE ANONYME POUR,0.13,"USD 8,253,781.63",Materials,FR0000120073,FR
US BANCORP,0.13,"USD 8,207,484.40",Financials,US9029733048,US
HONG KONG EXCHANGES AND CLEARING L,0.13,"USD 8,102,731.95",Financials,HK0388045442,HK
FIDELITY NATIONAL INFORMATION SERV,0.13,"USD 8,087,840.10",Information Technology,US31620M1062,US
T MOBILE US INC,0.13,"USD 8,086,353.59",Communication,US8725901040,US
CONOCOPHILLIPS,0.13,"USD 8,064,909.92",Energy,US20825C1045,US
AIRBUS GROUP,0.13,"USD 8,030,445.03",Industrials,NL0000235190,NL
EDWARDS LIFESCIENCES CORP,0.13,"USD 7,927,778.16",Health Care,US28176E1082,US
BECTON DICKINSON,0.13,"USD 7,883,371.68",Health Care,US0758871091,US
ESTEE LAUDER INC CLASS A,0.13,"USD 7,867,192.50",Consumer Staples,US5184391044,US
ROYAL DUTCH SHELL PLC CLASS B,0.13,"USD 7,852,576.16",Energy,GB00B03MM408,GB
PROSUS NV,0.13,"USD 7,847,462.09",Consumer Discretionary,NL0013654783,NL
EQUINIX REIT INC,0.13,"USD 7,823,749.44",Real Estate,US29444U7000,US
TRUIST FINANCIAL CORP,0.13,"USD 7,784,423.64",Financials,US89832Q1094,US
BANK OF NOVA SCOTIA,0.13,"USD 7,755,526.84",Financials,CA0641491075,CA
TOKYO ELECTRON LTD,0.12,"USD 7,698,458.30",Information Technology,JP3571400005,JP
SHERWIN WILLIAMS,0.12,"USD 7,689,747.03",Materials,US8243481061,US
DUKE ENERGY CORP,0.12,"USD 7,644,291.66",Utilities,US26441C2044,US
SOFTBANK GROUP CORP,0.12,"USD 7,641,892.13",Communication,JP3436100006,JP
CAPITAL ONE FINANCIAL CORP,0.12,"USD 7,619,734.50",Financials,US14040H1059,US
DAIMLER AG,0.12,"USD 7,588,782.53",Consumer Discretionary,DE0007100000,DE
CIGNA CORP,0.12,"USD 7,569,091.20",Health Care,US1255231003,US
BROOKFIELD ASSET MANAGEMENT INC CL,0.12,"USD 7,434,889.91",Financials,CA1125851040,CA
MITSUBISHI UFJ FINANCIAL GROUP INC,0.12,"USD 7,396,422.07",Financials,JP3902900004,JP
CSX CORP,0.12,"USD 7,372,502.15",Industrials,US1264081035,US
BASF N,0.12,"USD 7,244,957.45",Materials,DE000BASF111,DE
IBERDROLA SA,0.12,"USD 7,187,965.61",Utilities,ES0144580Y14,ES
ILLINOIS TOOL INC,0.12,"USD 7,148,132.40",Industrials,US4523081093,US
SNAP INC CLASS A,0.11,"USD 7,123,323.96",Communication,US83304A1060,US
BNP PARIBAS SA,0.11,"USD 7,104,541.01",Financials,FR0000131104,FR
DEUTSCHE TELEKOM N AG,0.11,"USD 7,076,089.21",Communication,DE0005557508,DE
AON PLC CLASS A,0.11,"USD 7,064,284.96",Financials,IE00BLP1HW54,IE
SOUTHERN,0.11,"USD 7,055,346.83",Utilities,US8425871071,US
ENEL,0.11,"USD 7,030,668.60",Utilities,IT0003128367,IT
DEUTSCHE POST AG,0.11,"USD 7,008,255.89",Industrials,DE0005552004,DE
GENERAL MOTORS,0.11,"USD 6,991,968.96",Consumer Discretionary,US37045V1008,US
CME GROUP INC CLASS A,0.11,"USD 6,925,761.92",Financials,US12572Q1058,US
HCA HEALTHCARE INC,0.11,"USD 6,891,324.40",Health Care,US40412C1018,US
ILLUMINA INC,0.11,"USD 6,890,811.96",Health Care,US4523271090,US
SHIN ETSU CHEMICAL LTD,0.11,"USD 6,827,778.03",Materials,JP3371200001,JP
BANK OF MONTREAL,0.11,"USD 6,824,739.06",Financials,CA0636711016,CA
ZURICH INSURANCE GROUP AG,0.11,"USD 6,819,639.99",Financials,CH0011075394,CH
NATIONAL AUSTRALIA BANK LTD,0.11,"USD 6,817,945.55",Financials,AU000000NAB4,AU
REGENERON PHARMACEUTICALS INC,0.11,"USD 6,801,664.00",Health Care,US75886F1075,US
WESTPAC BANKING CORPORATION CORP,0.11,"USD 6,789,782.72",Financials,AU000000WBC1,AU
WASTE MANAGEMENT INC,0.11,"USD 6,730,530.61",Industrials,US94106L1098,US
DAIKIN INDUSTRIES LTD,0.11,"USD 6,725,755.98",Industrials,JP3481800005,JP
NORFOLK SOUTHERN CORP,0.11,"USD 6,675,198.38",Industrials,US6558441084,US
LONZA GROUP AG,0.11,"USD 6,671,700.38",Health Care,CH0013841017,CH
EATON PLC,0.11,"USD 6,643,077.35",Industrials,IE00B8KQN827,IE
FISERV INC,0.11,"USD 6,596,956.80",Information Technology,US3377381088,US
MOODYS CORP,0.11,"USD 6,577,929.39",Financials,US6153691059,US
BANCO SANTANDER SA,0.11,"USD 6,573,378.36",Financials,ES0113900J37,ES
INTERCONTINENTAL EXCHANGE INC,0.11,"USD 6,557,095.88",Financials,US45866F1049,US
COLGATE-PALMOLIVE,0.11,"USD 6,551,963.39",Consumer Staples,US1941621039,US
AUTODESK INC,0.11,"USD 6,529,776.84",Information Technology,US0527691069,US
BOSTON SCIENTIFIC CORP,0.11,"USD 6,527,935.33",Health Care,US1011371077,US
ABB LTD,0.11,"USD 6,524,547.42",Industrials,CH0012221716,CH
ADIDAS N AG,0.11,"USD 6,515,596.05",Consumer Discretionary,DE000A1EWWW0,DE
FEDEX CORP,0.1,"USD 6,475,561.83",Industrials,US31428X1063,US
HOYA CORP,0.1,"USD 6,455,578.94",Health Care,JP3837800006,JP
UBS GROUP AG,0.1,"USD 6,430,840.72",Financials,CH0244767585,CH
SNOWFLAKE CLASS A,0.1,"USD 6,402,848.56",Information Technology,US8334451098,US
DOMINION ENERGY INC,0.1,"USD 6,391,076.70",Utilities,US25746U1097,US
EMERSON ELECTRIC,0.1,"USD 6,345,697.05",Industrials,US2910111044,US
NXP SEMICONDUCTORS NV,0.1,"USD 6,258,084.48",Information Technology,NL0009538784,NL
INFINEON TECHNOLOGIES AG,0.1,"USD 6,235,276.55",Information Technology,DE0006231004,DE
ACTIVISION BLIZZARD INC,0.1,"USD 6,148,180.75",Communication,US00507V1098,US
ECOLAB INC,0.1,"USD 6,130,479.87",Materials,US2788651006,US
AIR PRODUCTS AND CHEMICALS INC,0.1,"USD 6,069,948.50",Materials,US0091581068,US
ADYEN NV,0.1,"USD 6,068,035.34",Information Technology,NL0012969182,NL
RELX PLC,0.1,"USD 6,058,537.78",Industrials,GB00B2B0DG97,GB
KDDI CORP,0.1,"USD 6,036,525.92",Communication,JP3496400007,JP
AUSTRALIA AND NEW ZEALAND BANKING,0.1,"USD 6,026,727.71",Financials,AU000000ANZ3,AU
ZOOM VIDEO COMMUNICATIONS INC CLAS,0.1,"USD 6,006,941.52",Information Technology,US98980L1017,US
BHP GROUP PLC,0.1,"USD 5,957,831.56",Materials,GB00BH0P3Z91,GB
RECKITT BENCKISER GROUP PLC,0.1,"USD 5,917,108.06",Consumer Staples,GB00B24CGK77,GB
TWILIO INC CLASS A,0.1,"USD 5,890,610.46",Information Technology,US90138F1021,US
ALIGN TECHNOLOGY INC,0.09,"USD 5,784,764.64",Health Care,US0162551016,US
HITACHI LTD,0.09,"USD 5,775,435.29",Industrials,JP3788600009,JP
KLA CORP,0.09,"USD 5,759,156.52",Information Technology,US4824801009,US
COMPAGNIE FINANCIERE RICHEMONT SA,0.09,"USD 5,688,317.36",Consumer Discretionary,CH0210483332,CH
ESSILORLUXOTTICA SA,0.09,"USD 5,663,212.84",Consumer Discretionary,FR0000121667,FR
KERING SA,0.09,"USD 5,651,363.82",Consumer Discretionary,FR0000121485,FR
ING GROEP NV,0.09,"USD 5,648,275.38",Financials,NL0011821202,NL
IDEXX LABORATORIES INC,0.09,"USD 5,639,904.60",Health Care,US45168D1046,US
AXA SA,0.09,"USD 5,638,815.23",Financials,FR0000120628,FR
AGILENT TECHNOLOGIES INC,0.09,"USD 5,626,451.25",Health Care,US00846U1016,US
JOHNSON CONTROLS INTERNATIONAL PLC,0.09,"USD 5,620,088.21",Industrials,IE00BY7QL619,IE
NIDEC CORP,0.09,"USD 5,607,145.80",Industrials,JP3734800000,JP
MURATA MANUFACTURING LTD,0.09,"USD 5,534,457.20",Information Technology,JP3914400001,JP
BAYER AG,0.09,"USD 5,529,520.90",Health Care,DE000BAY0017,DE
TAKEDA PHARMACEUTICAL LTD,0.09,"USD 5,524,769.18",Health Care,JP3463000004,JP
PRUDENTIAL PLC,0.09,"USD 5,514,324.27",Financials,GB0007099541,GB
FREEPORT MCMORAN INC,0.09,"USD 5,512,469.60",Materials,US35671D8570,US
VINCI SA,0.09,"USD 5,505,240.47",Industrials,FR0000125486,FR
DEXCOM INC,0.09,"USD 5,485,254.81",Health Care,US2521311074,US
DOCUSIGN INC,0.09,"USD 5,436,878.20",Information Technology,US2561631068,US
CHIPOTLE MEXICAN GRILL INC,0.09,"USD 5,437,191.36",Consumer Discretionary,US1696561059,US
PROGRESSIVE CORP,0.09,"USD 5,425,883.19",Financials,US7433151039,US
HUMANA INC,0.09,"USD 5,403,876.00",Health Care,US4448591028,US
PUBLIC STORAGE REIT,0.09,"USD 5,395,245.86",Real Estate,US74460D1090,US
EBAY INC,0.09,"USD 5,373,301.78",Consumer Discretionary,US2786421030,US
ANGLO AMERICAN PLC,0.09,"USD 5,353,702.63",Materials,GB00B1XZS820,GB
LULULEMON ATHLETICA INC,0.09,"USD 5,353,762.05",Consumer Discretionary,US5500211090,US
NINTENDO LTD,0.09,"USD 5,325,147.54",Communication,JP3756600007,JP
IQVIA HOLDINGS INC,0.09,"USD 5,308,290.05",Health Care,US46266C1053,US
CANADIAN IMPERIAL BANK OF COMMERCE,0.09,"USD 5,290,257.45",Financials,CA1360691010,CA
MARVELL TECHNOLOGY INC,0.08,"USD 5,263,504.20",Information Technology,US5738741041,US
NORTHROP GRUMMAN CORP,0.08,"USD 5,243,607.60",Industrials,US6668071029,US
T ROWE PRICE GROUP INC,0.08,"USD 5,243,521.36",Financials,US74144T1088,US
DSV PANALPINA,0.08,"USD 5,239,118.44",Industrials,DK0060079531,DK
MSCI INC,0.08,"USD 5,219,663.68",Financials,US55354G1004,US
FORD MOTOR CO,0.08,"USD 5,173,580.90",Consumer Discretionary,US3453708600,US
GLOBAL PAYMENTS INC,0.08,"USD 5,160,016.48",Information Technology,US37940X1028,US
DOLLAR GENERAL CORP,0.08,"USD 5,156,075.08",Consumer Discretionary,US2566771059,US
HERMES INTERNATIONAL,0.08,"USD 5,128,033.63",Consumer Discretionary,FR0000052292,FR
SIKA AG,0.08,"USD 5,122,007.07",Materials,CH0418792922,CH
ROPER TECHNOLOGIES INC,0.08,"USD 5,116,919.60",Industrials,US7766961061,US
GENERAL DYNAMICS CORP,0.08,"USD 5,116,814.40",Industrials,US3695501086,US
FANUC CORP,0.08,"USD 5,115,549.66",Industrials,JP3802400006,JP
TWITTER INC,0.08,"USD 5,106,438.00",Communication,US90184L1026,US
GLENCORE PLC,0.08,"USD 5,098,138.05",Materials,JE00B4T3BW64,GB
SYNOPSYS INC,0.08,"USD 5,070,253.74",Information Technology,US8716071076,US
TE CONNECTIVITY LTD,0.08,"USD 5,034,835.00",Information Technology,CH0102993182,CH
VERTEX PHARMACEUTICALS INC,0.08,"USD 5,026,320.04",Health Care,US92532F1003,US
AMERICAN INTERNATIONAL GROUP INC,0.08,"USD 5,024,319.30",Financials,US0268747849,US
HONDA MOTOR LTD,0.08,"USD 5,019,080.47",Consumer Discretionary,JP3854600008,JP
CROWDSTRIKE HOLDINGS INC CLASS A,0.08,"USD 5,009,181.86",Information Technology,US22788C1053,US
UBER TECHNOLOGIES INC,0.08,"USD 4,981,466.88",Industrials,US90353T1007,US
METLIFE INC,0.08,"USD 4,949,710.08",Financials,US59156R1086,US
PALO ALTO NETWORKS INC,0.08,"USD 4,928,983.80",Information Technology,US6974351057,US
L3HARRIS TECHNOLOGIES INC,0.08,"USD 4,912,247.30",Industrials,US5024311095,US
TC ENERGY CORP,0.08,"USD 4,909,059.89",Energy,CA87807B1076,CA
CANADIAN PACIFIC RAILWAY LTD,0.08,"USD 4,902,434.68",Industrials,CA13645T1003,CA
TRANE TECHNOLOGIES PLC,0.08,"USD 4,898,240.06",Industrials,IE00BK9ZQ967,IE
EXELON CORP,0.08,"USD 4,897,566.90",Utilities,US30161N1019,US
WORKDAY INC CLASS A,0.08,"USD 4,867,554.30",Information Technology,US98138H1014,US
WESFARMERS LTD,0.08,"USD 4,863,470.16",Consumer Discretionary,AU000000WES1,AU
KIMBERLY CLARK CORP,0.08,"USD 4,859,003.24",Consumer Staples,US4943681035,US
IHS MARKIT LTD,0.08,"USD 4,851,941.58",Industrials,BMG475671050,BM
NEWMONT,0.08,"USD 4,835,405.48",Materials,US6516391066,US
ATLAS COPCO CLASS A,0.08,"USD 4,831,045.54",Industrials,SE0011166610,SE
NATIONAL GRID PLC,0.08,"USD 4,792,261.74",Utilities,GB00BDR05C01,GB
CARRIER GLOBAL CORP,0.08,"USD 4,768,204.88",Industrials,US14448C1045,US
CADENCE DESIGN SYSTEMS INC,0.08,"USD 4,732,334.84",Information Technology,US1273871087,US
DOW INC,0.08,"USD 4,724,676.60",Materials,US2605571031,US
GIVAUDAN SA,0.08,"USD 4,700,451.50",Materials,CH0010645932,CH
AMPHENOL CORP CLASS A,0.08,"USD 4,689,281.70",Information Technology,US0320951017,US
ALCON AG,0.07,"USD 4,637,415.00",Health Care,CH0432492467,CH
SIMON PROPERTY GROUP REIT INC,0.07,"USD 4,623,430.95",Real Estate,US8288061091,US
BANK OF NEW YORK MELLON CORP,0.07,"USD 4,587,158.72",Financials,US0640581007,US
SUMITOMO MITSUI FINANCIAL GROUP IN,0.07,"USD 4,556,713.04",Financials,JP3890350006,JP
SMC (JAPAN) CORP,0.07,"USD 4,542,202.30",Industrials,JP3162600005,JP
PERNOD RICARD SA,0.07,"USD 4,529,089.97",Consumer Staples,FR0000120693,FR
MACQUARIE GROUP LTD DEF,0.07,"USD 4,527,235.67",Financials,AU000000MQG1,AU
INTESA SANPAOLO,0.07,"USD 4,526,691.84",Financials,IT0000072618,IT
BANCO BILBAO VIZCAYA ARGENTARIA SA,0.07,"USD 4,511,737.38",Financials,ES0113211835,ES
BAXTER INTERNATIONAL INC,0.07,"USD 4,497,152.41",Health Care,US0718131099,US
VODAFONE GROUP PLC,0.07,"USD 4,487,993.48",Communication,GB00BH4HKS39,GB
NORDEA BANK,0.07,"USD 4,461,582.14",Financials,FI4000297767,FI
BIOGEN INC,0.07,"USD 4,452,544.01",Health Care,US09062X1037,US
DANONE SA,0.07,"USD 4,442,514.33",Consumer Staples,FR0000120644,FR
VOLKSWAGEN NON-VOTING PREF AG,0.07,"USD 4,440,480.28",Consumer Discretionary,DE0007664039,DE
ANHEUSER BUSCH INBEV SA,0.07,"USD 4,434,960.29",Consumer Staples,BE0974293251,BE
STELLANTIS NV,0.07,"USD 4,420,628.28",Consumer Discretionary,NL00150001Q9,NL
OREILLY AUTOMOTIVE INC,0.07,"USD 4,408,950.04",Consumer Discretionary,US67103H1077,US
TRAVELERS COMPANIES INC,0.07,"USD 4,396,009.26",Financials,US89417E1091,US
LLOYDS BANKING GROUP PLC,0.07,"USD 4,385,981.57",Financials,GB0008706128,GB
MICROCHIP TECHNOLOGY INC,0.07,"USD 4,384,482.27",Information Technology,US5950171042,US
MUENCHENER RUECKVERSICHERUNGS-GESE,0.07,"USD 4,371,213.42",Financials,DE0008430026,DE
ROSS STORES INC,0.07,"USD 4,351,664.31",Consumer Discretionary,US7782961038,US
MOTOROLA SOLUTIONS INC,0.07,"USD 4,349,741.13",Information Technology,US6200763075,US
AMERICAN ELECTRIC POWER INC,0.07,"USD 4,346,064.78",Utilities,US0255371017,US
EOG RESOURCES INC,0.07,"USD 4,341,998.05",Energy,US26875P1012,US
